pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Flecainide Action Pathway,SMPDB,6,ABCC8;CALM3;CACNB1;CACNA1H;SNTB1;TNNC2,61 (61),0.0551,0.622,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1,0.167,1
Isradipine Action Pathway,SMPDB,6,SNTB1;CALM3;CACNB1;CACNA1H;ABCC8;TNNC2,61 (61),0.0551,0.622,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1,0.167,1
Nifedipine Action Pathway,SMPDB,6,SNTB1;CALM3;CACNB1;CACNA1H;ABCC8;TNNC2,61 (61),0.0551,0.622,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1,0.167,1
Nadolol Action Pathway,SMPDB,6,SNTB1;CALM3;CACNB1;CACNA1H;ABCC8;TNNC2,61 (61),0.0551,0.622,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1,0.167,1
Diabetic cardiomyopathy - Homo sapiens (human),KEGG,14,MT-CO1;MT-CO2;NDUFA4L2;MT-CYB;MT-ND5;PDK4;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ATP6;MT-ND6;CPT1B,203 (203),0.0734,0.703,3,HMDB0000290;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0004949,26 (39),0.54,1,0.167,1
Arginine and proline metabolism - Homo sapiens (human),KEGG,3,SMS;CNDP1;SAT1,50 (51),0.391,1,10,HMDB0002064;HMDB0012230;HMDB0002104;HMDB0000725;HMDB0060460;HMDB0033460;HMDB0006272;HMDB0059659;HMDB0004225;HMDB0012249,60 (78),0.102,1,0.169,1
Cargo recognition for clathrin-mediated endocytosis,Reactome,7,FZD4;LRP2;STON1;CD3G;CD4;SH3GL3;TFRC,105 (105),0.192,1,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,8 (10),0.209,1,0.169,1
SHC1 events in ERBB2 signaling,Reactome,3,ERBB3;NRG1;NRG4,22 (22),0.0736,0.703,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,7 (8),0.549,1,0.17,1
Signaling by Nuclear Receptors,Reactome,20,CHKB;FOXA1;FOXO3;ABCG8;PCK1;CALM3;PDK4;SCD;PLTP;FKBP5;CPT1B;CCND1;EEPD1;TBL1XR1;ALDH1A1;RDH11;SRC;RARB;CAV2;SREBF1,294 (295),0.0425,0.618,2,HMDB0000145;HMDB0006216,42 (49),0.95,1,0.17,1
Lysine degradation - Homo sapiens (human),KEGG,4,KMT5C;SETDB2;AASS;ACAT2,63 (63),0.313,1,7,HMDB0013287;HMDB0001084;HMDB0062259;HMDB0000123;HMDB0012130;HMDB0001325;HMDB0000279,40 (50),0.13,1,0.171,1
Fosphenytoin (Antiarrhythmic) Action Pathway,SMPDB,6,ABCC8;CALM3;CACNB1;CACNA1H;SNTB1;TNNC2,61 (61),0.0551,0.622,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,12 (12),0.745,1,0.172,1
Neurotrophin signaling pathway - Homo sapiens (human),KEGG,6,FASLG;FOXO3;CALM3;SH2B2;MATK;TP73,119 (119),0.445,1,2,HMDB0004949;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.0922,1,0.172,1
Brain-derived neurotrophic factor (BDNF) signaling pathway,Wikipathways,10,ACACB;PTPRF;FOXO3;MAPT;SH2B2;CRTC1;IRS2;SIRPA;SRC;SYN1,144 (144),0.113,0.856,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,4 (4),0.365,1,0.173,1
Linoleic acid (LA) metabolism,Reactome,2,FADS1;ELOVL2,8 (8),0.047,0.622,1,HMDB0001976,19 (24),0.885,1,0.174,1
Complex I biogenesis,Reactome,6,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND5;MT-ND6,57 (57),0.0417,0.615,0,,2 (3),1,1,0.174,1
Carvedilol Action Pathway,SMPDB,6,SNTB1;CALM3;CACNB1;CACNA1H;ABCC8;TNNC2,62 (62),0.0588,0.63,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1,0.175,1
Labetalol Action Pathway,SMPDB,6,SNTB1;CALM3;CACNB1;CACNA1H;ABCC8;TNNC2,62 (62),0.0588,0.63,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1,0.175,1
Autophagy,Wikipathways,2,PRKAB1;ATG16L1,30 (30),0.392,1,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,1 (2),0.107,1,0.175,1
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities,Wikipathways,2,FOXO3;FOXO4,30 (30),0.392,1,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,1 (1),0.107,1,0.175,1
Glycolysis,Reactome,7,ENO3;PPP2R1B;PPP2R5D;GCK;GCKR;PFKFB1;NUP93,72 (73),0.0422,0.617,0,,21 (27),1,1,0.176,1
Necroptosis - Homo sapiens (human),KEGG,4,FAF1;PLA2G4B;FASLG;TNFSF10,159 (159),0.931,1,3,HMDB0004949;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0001043,8 (10),0.0454,1,0.176,1
Response to elevated platelet cytosolic Ca2+,Reactome,11,FGA;FGB;CTSW;CALM3;TMSB4X;PF4;ITIH3;QSOX1;KNG1;ITIH4;FGG,136 (136),0.0423,0.617,0,,10 (11),1,1,0.176,1
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives,Reactome,0,,2 (2),1,1,4,HMDB0006528;HMDB0010213;HMDB0060050;HMDB0002183,13 (28),0.0424,1,0.176,1
Neomycin_ kanamycin and gentamicin biosynthesis - Homo sapiens (human),KEGG,1,GCK,5 (5),0.205,1,2,HMDB0000290;HMDB0015129,8 (81),0.209,1,0.178,1
Nervous system development,Reactome,22,RHOC;PLXNA3;CACNA1D;CACNB1;LIMK2;NRCAM;SEMA7A;SRC;NGEF;SREBF2;FES;DNM3;CACNA1H;IRS2;HSPA8;PLXNA1;GFRA1;GFRA3;HMGCR;EPHA3;EPHA4;EPHB1,379 (379),0.131,0.881,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000123,11 (17),0.334,1,0.18,1
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,Wikipathways,5,LAT;CARD11;CD4;CHP1;ZAP70,63 (63),0.152,0.957,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,3 (3),0.289,1,0.181,1
Fatty acid beta-oxidation,Wikipathways,4,CHKB;ACSL3;ACSS2;CPT1B,34 (34),0.0643,0.675,3,HMDB0062259;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0003944,32 (34),0.684,1,0.181,1
Ether lipid metabolism - Homo sapiens (human),KEGG,4,PLA2G4B;GAL3ST1;PLPP3;PLD3,49 (49),0.177,0.98,2,HMDB0011149;HMDB0011148,9 (25),0.25,1,0.182,1
Lysine metabolism,EHMN,4,NUP93;SLC25A21;SETDB2;AASS,60 (60),0.283,1,7,HMDB0013287;HMDB0033934;HMDB0001084;HMDB0000123;HMDB0012130;HMDB0001325;HMDB0000279,42 (53),0.157,1,0.182,1
SCF(Skp2)-mediated degradation of p27/p21,Reactome,3,CCNA2;CCND1;CDKN1A,18 (18),0.0444,0.622,0,,2 (2),1,1,0.183,1
T-Cell Receptor and Co-stimulatory Signaling,Wikipathways,1,ZAP70,30 (30),0.748,1,2,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,4 (4),0.0594,1,0.183,1
MGMT-mediated DNA damage reversal,Reactome,1,MGMT,1 (1),0.0449,0.622,0,,1 (2),1,1,0.184,1
Defective ABCC8 can cause hypo- and hyper-glycemias,Reactome,1,ABCC8,1 (1),0.0449,0.622,0,,1 (1),1,1,0.184,1
phosphatidylserine biosynthesis II,HumanCyc,1,PTDSS2,1 (1),0.0449,0.622,0,,3 (4),1,1,0.184,1
histamine biosynthesis,HumanCyc,1,HDC,1 (1),0.0449,0.622,0,,4 (4),1,1,0.184,1
Tandem pore domain halothane-inhibited K+ channel (THIK),Reactome,1,KCNK13,1 (1),0.0449,0.622,0,,1 (1),1,1,0.184,1
PI3K/AKT Signaling in Cancer,Reactome,8,CDKN1A;NRG4;NRG1;FOXO4;ERBB3;IRS2;SRC;FOXO3,106 (106),0.104,0.828,1,HMDB0000693,5 (21),0.433,1,0.184,1
Degradation of the extracellular matrix,Reactome,8,CAPN12;MMP16;LAMA5;KLKB1;COL18A1;HTRA1;CTSL;ADAM8,103 (103),0.0915,0.756,1,HMDB0033934,6 (8),0.494,1,0.185,1
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PID,5,PLAU;FGG;FGA;FGB;SRC,44 (44),0.0461,0.622,0,,2 (2),1,1,0.188,1
Synthesis of PA,Reactome,4,PLA2G4B;GPAT3;AGPAT2;AGPAT3,37 (37),0.0826,0.736,2,HMDB0062321;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,17 (27),0.559,1,0.188,1
Longevity regulating pathway - Homo sapiens (human),KEGG,8,FOXO3;PRKAB1;PPARGC1A;SESN1;ADCY9;IRS2;CREB3L3;PPARG,89 (89),0.0462,0.622,0,,8 (8),1,1,0.188,1
Depolymerisation of the Nuclear Lamina,Reactome,2,LPIN3;CDK1,11 (11),0.0846,0.736,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,7 (7),0.549,1,0.189,1
leukotriene biosynthesis,HumanCyc,1,LTC4S,6 (6),0.241,1,5,HMDB0002995;HMDB0000123;HMDB0001043;HMDB0000687;HMDB0000172,29 (30),0.194,1,0.19,1
Prion disease - Homo sapiens (human),KEGG,17,MT-CO1;HSPA8;MT-ND4L;NDUFA4L2;MT-CO2;CACNA1D;MT-ND5;MT-CYB;MT-ND6;TUBB2A;MT-ND1;MT-ND2;MT-ND3;CAV2;CREB3L3;MT-ATP6;MT-ND4,273 (273),0.108,0.856,1,HMDB0001547,5 (5),0.433,1,0.19,1
ketogenesis,HumanCyc,2,HMGCS1;ACAT2,8 (8),0.047,0.622,0,,12 (12),1,1,0.191,1
oleate biosynthesis,HumanCyc,2,FADS1;SCD,8 (8),0.047,0.622,0,,7 (7),1,1,0.191,1
GPCR signaling-G alpha q,INOH,17,FZD1;FZD4;FZD6;FASLG;DBI;GDF10;TNFSF10;ADORA2B;INHBC;NRG1;FZD5;FGF21;IL7;KNG1;IHH;IL18;NRG4,274 (274),0.111,0.856,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1,0.194,1
Biosynthesis of DHA-derived sulfido conjugates,Reactome,1,LTC4S,2 (2),0.0878,0.74,1,HMDB0000123,7 (22),0.549,1,0.194,1
NRAGE signals death through JNK,Reactome,6,FGD2;NET1;ECT2;ARHGEF37;ARHGEF3;NGEF,59 (59),0.0481,0.622,0,,4 (4),1,1,0.194,1
GPCR signaling-pertussis toxin,INOH,18,FZD1;FZD4;ADCY9;FASLG;DBI;GDF10;TNFSF10;ADORA2B;INHBC;NRG1;FZD5;FZD6;FGF21;IL7;KNG1;IHH;IL18;NRG4,262 (262),0.0484,0.622,0,,2 (2),1,1,0.195,1
GPCR signaling-G alpha i,INOH,18,FZD1;FZD4;ADCY9;FASLG;DBI;GDF10;TNFSF10;ADORA2B;INHBC;NRG1;FZD5;FZD6;FGF21;IL7;KNG1;IHH;IL18;NRG4,262 (262),0.0484,0.622,0,,2 (2),1,1,0.195,1
role of mef2d in t-cell apoptosis,BioCarta,4,LAT;CD4;CD3G;ZAP70,31 (31),0.0484,0.622,0,,1 (1),1,1,0.195,1
ABC transporters - Homo sapiens (human),KEGG,4,ABCC6;ABCC8;ABCG8;ABCC5,45 (45),0.142,0.921,11,HMDB0035312;HMDB0000244;HMDB0000725;HMDB0003213;HMDB0000123;HMDB0000172;HMDB0000195;HMDB0000043;HMDB0001149;HMDB0001262;HMDB0000687,88 (138),0.342,1,0.195,1
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Reactome,2,FADS1;ELOVL2,13 (13),0.113,0.856,4,HMDB0001976;HMDB0002183;HMDB0001388;HMDB0006519,31 (42),0.43,1,0.196,1
CD4 T cell receptor signaling-ERK cascade,INOH,4,LAT;CD4;CD3G;ZAP70,44 (44),0.134,0.886,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,4 (5),0.365,1,0.196,1
Lipid particle organization,Reactome,1,HSD17B13,6 (6),0.241,1,1,HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,2 (3),0.203,1,0.197,1
MAPK signaling pathway - Homo sapiens (human),KEGG,18,HSPA8;IL1R1;FASLG;MAP2K6;FLT1;CACNA1D;MAPT;CACNB1;GADD45A;CACNA1H;ERBB3;FGF21;CACNA2D4;DUSP4;RAC3;PLA2G4B;MAPK8IP3;RASGRP4,294 (294),0.113,0.856,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.433,1,0.197,1
Pathogenic Escherichia coli infection,Wikipathways,3,TUBB2A;OCLN;CLDN1,56 (56),0.463,1,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,1 (1),0.107,1,0.199,1
Metabolism of ingested SeMet_ Sec_ MeSec into H2Se,Reactome,2,SCLY;MAT1A,9 (9),0.0587,0.63,2,HMDB0000123;HMDB0033934,30 (33),0.849,1,0.199,1
Parkinson disease - Homo sapiens (human),KEGG,17,MT-CO1;MT-CO2;NDUFA4L2;XBP1;MT-CYB;CALM3;MAPT;NFE2L2;MT-ND6;TUBB2A;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ATP6;MT-ND5,249 (249),0.0566,0.63,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,19 (21),0.885,1,0.2,1
Aldosterone synthesis and secretion - Homo sapiens (human),KEGG,6,CACNA1D;DAGLA;CACNA1H;CALM3;ADCY9;CREB3L3,98 (98),0.277,1,4,HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001547;HMDB0001043,21 (22),0.181,1,0.201,1
Glycosaminoglycan degradation,Wikipathways,2,HEXB;ARSB,17 (17),0.176,0.98,1,HMDB0000693,3 (5),0.289,1,0.202,1
p53-Dependent G1 DNA Damage Response,Reactome,3,CCNA2;CDKN1A;MDM4,19 (19),0.0511,0.622,0,,2 (2),1,1,0.203,1
p53-Dependent G1/S DNA damage checkpoint,Reactome,3,CCNA2;CDKN1A;MDM4,19 (19),0.0511,0.622,0,,2 (2),1,1,0.203,1
Growth hormone receptor signaling,Reactome,3,CISH;IRS2;SOCS3,19 (19),0.0511,0.622,0,,4 (4),1,1,0.203,1
Asymmetric localization of PCP proteins,Reactome,3,FZD1;FZD4;FZD5,19 (19),0.0511,0.622,0,,2 (3),1,1,0.203,1
Nucleotide-like (purinergic) receptors,Reactome,3,ADORA2B;PPAN;P2RY6,19 (19),0.0511,0.622,0,,9 (12),1,1,0.203,1
Post-translational protein phosphorylation,Reactome,9,FGA;QSOX1;WFS1;CHRDL1;CP;C4A;KNG1;PCSK9;FGG,107 (107),0.0511,0.622,0,,2 (2),1,1,0.203,1
Generation of second messenger molecules,Reactome,4,LAT;CD4;CD3G;ZAP70,42 (42),0.118,0.873,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (7),0.433,1,0.203,1
ABC-family proteins mediated transport,Reactome,3,ABCC6;ABCC5;ABCG8,58 (58),0.486,1,3,HMDB0000067;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,11 (20),0.105,1,0.203,1
Steroidogenesis,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
Apparent mineralocorticoid excess syndrome,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
3-Beta-Hydroxysteroid Dehydrogenase Deficiency,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
21-hydroxylase deficiency (CYP21),SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
Corticosterone methyl oxidase I deficiency (CMO I),SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
Corticosterone methyl oxidase II deficiency - CMO II,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH,SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
17-alpha-hydroxylase deficiency (CYP17),SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
11-beta-hydroxylase deficiency (CYP11B1),SMPDB,1,CYP17A1,11 (11),0.397,1,7,HMDB0000015;HMDB0006756;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0006764;HMDB0004030,40 (42),0.13,1,0.204,1
alpha-linolenic acid (ALA) metabolism,Reactome,2,FADS1;ELOVL2,13 (13),0.113,0.856,3,HMDB0006519;HMDB0002183;HMDB0001388,23 (32),0.455,1,0.204,1
Signaling by ERBB2,Reactome,5,ERBB3;SRC;NRG1;NRG4;MATK,50 (50),0.0725,0.703,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,11 (15),0.714,1,0.205,1
NF-kappa B signaling pathway - Homo sapiens (human),KEGG,7,LAT;IL1R1;EDA2R;ZAP70;PLAU;CARD11;GADD45A,103 (104),0.18,0.996,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,3 (3),0.289,1,0.206,1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome,10,FGA;QSOX1;WFS1;CHRDL1;CP;C4A;KNG1;FGG;PCSK9;IGFBP2,124 (124),0.0522,0.622,0,,3 (3),1,1,0.206,1
Phenytoin (Antiarrhythmic) Action Pathway,SMPDB,7,ABCC8;CYP1A2;CACNB1;CALM3;CACNA1H;SNTB1;TNNC2,82 (82),0.0749,0.711,2,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145;HMDB0041905,22 (22),0.701,1,0.207,1
Interconversion of polyamines,Reactome,1,SAT1,3 (3),0.129,0.873,2,HMDB0001276;HMDB0001186,13 (13),0.414,1,0.21,1
triacylglycerol degradation,HumanCyc,1,CEL,15 (15),0.498,1,6,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000944;HMDB0003073;HMDB0001388;HMDB0001043;HMDB0002183,31 (54),0.107,1,0.21,1
telomeres telomerase cellular aging and immortality,BioCarta,1,PPP2R5D,15 (15),0.498,1,1,HMDB0014813,1 (3),0.107,1,0.21,1
Type II diabetes mellitus - Homo sapiens (human),KEGG,5,CACNA1D;ABCC8;IRS2;SOCS3;GCK,46 (46),0.0541,0.622,0,,4 (6),1,1,0.212,1
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages,BioCarta,3,PPP2R5D;FZD1;CCND1,40 (40),0.267,1,1,HMDB0004949,2 (2),0.203,1,0.212,1
Glucose metabolism,Reactome,8,NUP93;ENO3;PPP2R1B;PCK1;GCK;GCKR;PFKFB1;PPP2R5D,92 (93),0.0543,0.622,0,,32 (39),1,1,0.213,1
Direct p53 effectors,PID,11,FOXA1;CDKN1A;CCNG1;RHOC;SESN1;COL18A1;GADD45A;BTG2;KAT2A;TP73;PRKAB1,142 (142),0.0548,0.622,0,,1 (1),1,1,0.214,1
Cell Cycle Checkpoints,Reactome,17,SPC24;MDM4;HUS1;ORC2;ORC4;CDKN1A;PPP2R1B;CENPT;BLM;CDK1;PPP2R5D;UBE2C;CCNA2;MCM6;CDC7;ATRIP;RAD50,248 (249),0.0549,0.622,0,,3 (5),1,1,0.214,1
PLC beta mediated events,Reactome,2,CALM3;ADCY9,50 (50),0.663,1,4,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001043;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,16 (17),0.0837,1,0.216,1
Ca-dependent events,Reactome,2,CALM3;ADCY9,39 (39),0.528,1,3,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0001043;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,11 (11),0.105,1,0.216,1
